Item,Current Status,Followup Actions
NAPTR RR References in IANA Registry Out of Date,- Email from Amanda,Tim will monitor
,,
draft-thomassen-dnsop-dnssec-bootstrapping,From the poll.  ,Tim will reach out about bringing DNSOP up inSeptember
,,
 RFC ISE Email draft-dashevskyi-dnsrr-antipatterns,Find another group like maprg,chairs will review
,,
draft-sekar-dns-ul,"question if draft should be in DNSOP.  - suggestion: stay in dns-sd, and reviews from dnsop",Warren will talk to Eric
,,
draft-ietf-dnsop-rfc8499bis,- asked authors to look at new terms in draft-ietf-dprive-xfr-over-tls,
,,
draft-ietf-dnsop-nsec3-guidance,- value selection,
,,
draft-ietf-dnsop-avoid-fragmentation,- value or values,interim candidate
,,
draft-ietf-dnsop-glue-is-not-optional,- few issues came up during meeting to address,Will reconnect with authors in early September
,,
draft-ietf-dnsop-ns-revalidation,Three TODOs for text. ,tim will check with authors on possible interim
,,
draft-ietf-dnsop-dns-catalog-zones,Six outstanding questions in draft needing resolution.  ,tim will check with authors on possible interim
